id;code;lib;annee;mois;date_calcul;date_valid;date_payroll;total_net;total_net_devise;taux_change;calcul_by;effect_by;date_situation;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;intelligence;SCSI;5795;59195;2021-11-07;2021-11-07;2021-11-07;22475;30476;29137;Frozen;Mountain Centralized;2021-11-07;2021-11-07T21:51:13;Quality;drive Credit North;infomediaries National;District Orchestrator;true;2021-11-07T19:37:14;2021-11-07T14:56:05
2;District Refined;quantify Cambridgeshire Checking;28299;83958;2021-11-07;2021-11-08;2021-11-07;46975;79412;79602;Cambridgeshire Re-engineered;Granite Concrete;2021-11-07;2021-11-08T04:47:48;Plain Toys;Operations SQL Bacon;Metrics drive Solomon;purple;true;2021-11-08T05:00:03;2021-11-07T23:29:37
3;COM back-end Turnpike;IB Delaware;25358;36477;2021-11-07;2021-11-07;2021-11-08;44851;54323;59581;online Practical indexing;architectures Toys;2021-11-08;2021-11-08T00:19:10;morph;Implementation Estate;Naira Dinar Maine;orchid architectures;false;2021-11-08T06:14:58;2021-11-08T11:33:06
4;Cheese Station;optical Chief;18681;37993;2021-11-07;2021-11-07;2021-11-07;49854;22021;32;distributed Fords deposit;cross-platform;2021-11-07;2021-11-08T02:02:41;tan strategize Planner;Games;Mills;Unbranded whiteboard;true;2021-11-08T08:23:53;2021-11-08T02:03:44
5;Ford;Marketing Tugrik Account;17354;4696;2021-11-07;2021-11-08;2021-11-08;25605;43284;10599;SMTP parallelism;encryption Chicken;2021-11-08;2021-11-07T21:59:09;schemas Health infomediaries;methodology;optimize;teal infrastructures withdrawal;true;2021-11-08T00:58:33;2021-11-07T14:05:10
6;Baby Euro;Sleek;66165;5914;2021-11-07;2021-11-07;2021-11-08;99328;97514;67392;fresh-thinking Soap;Central;2021-11-08;2021-11-07T23:14:31;orange Aruban;Usability Digitized Exclusive;Valley contingency Chicken;parsing;true;2021-11-07T21:07:17;2021-11-08T10:22:13
7;withdrawal;Leone Path;51584;77984;2021-11-08;2021-11-08;2021-11-08;55969;4494;78608;schemas Shoes;Data Keyboard;2021-11-08;2021-11-08T11:53:57;system purple Mississippi;Product;Garden;Streets Associate;false;2021-11-07T22:40:14;2021-11-07T22:12:32
8;Security generating;Oregon Fresh;52827;46084;2021-11-08;2021-11-07;2021-11-08;59365;89170;56636;plum;payment Bhutan deposit;2021-11-07;2021-11-08T11:11:00;violet;Computer Awesome;extend Iowa;Cambridgeshire Michigan;false;2021-11-07T13:42:27;2021-11-08T06:53:49
9;orchid fresh-thinking;Frozen Fantastic invoice;72333;34414;2021-11-07;2021-11-08;2021-11-07;20136;5787;69060;calculating;magenta copy Generic;2021-11-08;2021-11-07T20:29:44;Soft Legacy;Buckinghamshire;streamline Turkmenistan Account;Soft model Automotive;true;2021-11-08T04:43:16;2021-11-08T01:47:35
10;Awesome;strategic Alaska Plastic;35706;80397;2021-11-07;2021-11-08;2021-11-07;86789;57946;97505;robust synthesize Account;invoice plug-and-play;2021-11-07;2021-11-07T23:30:24;synthesizing;Botswana transmitter;Chad Principal Bedfordshire;eco-centric;true;2021-11-08T05:08:33;2021-11-08T11:22:23
