id;date_situation;dateop;util;modified_by;op;is_deleted;created_date;modified_date
1;2021-11-08;2021-11-07T19:52:11;Card Consultant;strategic;Bedfordshire 24/7 Generic;true;2021-11-08T11:02:02;2021-11-08T09:17:30
2;2021-11-07;2021-11-07T23:47:50;synthesize Distributed;software Steel;lime Specialist;true;2021-11-07T21:18:37;2021-11-08T08:22:54
3;2021-11-07;2021-11-07T14:32:58;Grove;Trail empowering;Cloned real-time;false;2021-11-08T06:58:05;2021-11-08T06:38:38
4;2021-11-08;2021-11-08T11:25:04;plug-and-play users paradigms;Maryland Fresh;Leone Card Fresh;true;2021-11-08T09:09:16;2021-11-08T07:12:57
5;2021-11-08;2021-11-07T17:02:05;THX Soap;Incredible Minnesota Practical;Technician wireless COM;false;2021-11-07T20:46:38;2021-11-08T11:19:42
6;2021-11-07;2021-11-08T06:26:52;Sausages quantify olive;non-volatile budgetary back-end;Fundamental;true;2021-11-08T10:55:53;2021-11-08T10:18:34
7;2021-11-07;2021-11-08T11:42:39;Territories cultivate Gorgeous;Pula Practical;Versatile Colombia Gateway;true;2021-11-08T08:33:19;2021-11-07T22:36:03
8;2021-11-07;2021-11-08T08:43:40;Buckinghamshire;backing Borders Savings;copying leading-edge Creek;true;2021-11-08T00:53:41;2021-11-08T04:51:26
9;2021-11-08;2021-11-08T09:22:23;Loan;evolve deposit;invoice Cliff Computer;true;2021-11-07T23:17:18;2021-11-07T19:56:05
10;2021-11-07;2021-11-07T17:07:12;calculate;Fresh Face;Brooks deposit;false;2021-11-07T15:04:01;2021-11-07T18:54:43
