id;annee;mois;nb_days;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;66414;8811;18910;JBOD Tasty;2021-11-08T03:51:38;Movies;blue Franc;true;2021-11-07T19:23:47;2021-11-08T07:24:11
2;20701;90334;56112;Plastic;2021-11-08T00:33:49;Kentucky quantifying;mission-critical;true;2021-11-07T13:37:30;2021-11-07T17:58:10
3;83923;31234;42350;Intuitive Metal TCP;2021-11-07T15:10:39;Island lavender SMTP;yellow multi-state Global;false;2021-11-08T12:04:05;2021-11-08T10:12:57
4;86458;80959;28806;Marketing blockchains infrastructures;2021-11-08T03:44:27;analyzer;Tactics;true;2021-11-08T06:52:50;2021-11-08T03:22:38
5;78768;82472;7054;Garden National;2021-11-07T18:17:56;Card Sports;overriding payment Squares;false;2021-11-07T15:26:29;2021-11-08T02:59:14
6;34728;45645;5462;content Lights hub;2021-11-08T03:07:53;Savings;Developer;false;2021-11-08T10:28:15;2021-11-07T18:01:15
7;27094;41185;32324;Creative;2021-11-07T20:53:23;PNG;Personal Cambridgeshire;false;2021-11-07T13:45:20;2021-11-07T22:44:40
8;66859;33164;94360;USB Garden;2021-11-07T16:53:08;Brunei Jewelery Virgin;protocol Principal Dynamic;true;2021-11-07T23:48:31;2021-11-07T23:56:04
9;52359;70820;66647;solution-oriented HDD;2021-11-08T10:33:35;Dollar;Bedfordshire;false;2021-11-07T22:28:28;2021-11-07T16:41:33
10;51683;17883;79043;panel;2021-11-07T22:09:33;expedite;Directives static;false;2021-11-07T19:07:47;2021-11-07T14:28:35
