id;annee;nb_days_right;nb_days_consumed;nb_days_unavailble;nb_days_availble;nb_days_left;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;42074;21316;29242;43979;38413;89733;Steel Developer;2021-11-08T00:52:33;generating back;engine Integration compressing;true;2021-11-07T17:44:23;2021-11-07T18:49:22
2;90035;79213;24614;92743;18152;42426;PCI synthesize Cayman;2021-11-08T12:32:18;Strategist Brand;Bahrain Small Denar;true;2021-11-08T08:22:44;2021-11-07T18:46:12
3;47478;95793;94748;72693;33567;11544;sky;2021-11-08T11:50:46;navigate transmitter;up ivory Mississippi;true;2021-11-08T11:59:29;2021-11-08T00:49:15
4;38522;17343;79204;70803;13266;86450;Loan Shoes installation;2021-11-08T06:10:42;Wyoming redundant Factors;Technician Court;true;2021-11-07T22:27:09;2021-11-07T15:08:52
5;31697;66339;81637;68233;52053;66078;Metrics Music Factors;2021-11-07T17:43:32;Outdoors;Massachusetts withdrawal Kentucky;false;2021-11-08T07:43:46;2021-11-07T23:31:51
6;93401;51211;96608;31378;82300;16981;Pants Electronics;2021-11-08T09:34:10;interface Hat;Division;false;2021-11-08T11:27:39;2021-11-07T16:08:36
7;17949;33081;84396;4575;7134;34452;Cambridgeshire IB SAS;2021-11-08T02:02:14;ivory;web-enabled;true;2021-11-07T14:29:15;2021-11-07T16:12:27
8;96047;87240;13403;48304;54261;7823;Squares Account;2021-11-07T15:58:08;Usability architecture Internal;secondary contextually-based;false;2021-11-08T04:43:28;2021-11-07T20:13:12
9;24394;54509;18221;2614;89587;2498;Checking;2021-11-07T19:19:19;Tools system alarm;deploy Automotive throughput;true;2021-11-08T02:31:37;2021-11-08T04:05:12
10;22415;2905;79072;51540;58806;13447;vertical;2021-11-08T00:43:31;magnetic;Buckinghamshire;true;2021-11-07T14:32:08;2021-11-07T22:19:35
