id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;indexing;time-frame;Metal Industrial;lavender New;2021-11-07T16:45:27;withdrawal line integrate;intuitive parsing payment;false;2021-11-07T21:34:58;2021-11-08T11:03:30
2;Intelligent;complexity Soft Creative;transform;Brand Account;2021-11-08T09:00:24;Configuration;Global Fresh parsing;false;2021-11-08T04:13:32;2021-11-08T03:43:49
3;Bedfordshire Profit-focused;Research Bedfordshire;Uganda SSL orange;Borders;2021-11-08T02:16:23;Mauritius Gorgeous New;Practical payment;false;2021-11-07T15:58:08;2021-11-08T06:12:53
4;Direct maroon Steel;Ball Port;Account Pennsylvania Account;hack Iowa recontextualize;2021-11-08T11:22:41;architectures;violet Inverse;true;2021-11-07T16:57:14;2021-11-07T14:42:19
5;Rubber Hat SMTP;Officer;Passage Ball;task-force Gorgeous Books;2021-11-08T00:37:40;COM;hack Incredible application;true;2021-11-08T08:49:38;2021-11-08T02:33:03
6;SQL orchid 24/7;SDR Chair;Divide connecting Unbranded;Advanced;2021-11-08T00:28:09;EXE monitor Causeway;Supervisor Regional;false;2021-11-07T16:54:18;2021-11-08T09:07:10
7;Course Nevada;Fresh;Bedfordshire Music metrics;Gloves circuit Bacon;2021-11-08T10:18:26;bricks-and-clicks;Triple-buffered SQL Lead;true;2021-11-07T22:41:46;2021-11-07T22:02:42
8;Sleek Developer array;Diverse;Cambridgeshire Implementation;tertiary;2021-11-08T05:07:21;Games;Franc neural;false;2021-11-08T03:48:15;2021-11-08T12:36:12
9;cross-platform best-of-breed program;Salad Consultant;SCSI;Steel;2021-11-07T22:00:16;B2C Rhode Cambridgeshire;back-end solutions Dynamic;true;2021-11-08T05:06:52;2021-11-07T18:48:56
10;deposit wireless;Path;grey;indexing Mississippi Sports;2021-11-08T08:30:11;reinvent Missouri RSS;pixel;false;2021-11-08T02:46:34;2021-11-08T10:21:27
