id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;up Connecticut Cambridgeshire;TCP Infrastructure;process Music;Computers Checking Small;2021-11-08T03:45:01;Soap;cross-platform Security;true;2021-11-07T19:33:54;2021-11-08T07:36:08
2;Forint Tome Customizable;invoice Turkey deposit;Concrete EXE deposit;Computers;2021-11-08T04:58:27;European Rubber;Gloves Bedfordshire;false;2021-11-07T21:48:23;2021-11-08T04:01:59
3;Reverse-engineered Chips;Soft GB Clothing;Right-sized Tools;SCSI copying User-friendly;2021-11-07T22:42:59;Oklahoma Fresh zero;West feed Forges;true;2021-11-07T14:35:05;2021-11-08T12:40:02
4;Courts Liaison Liechtenstein;Ball explicit Technician;firewall;Awesome;2021-11-08T10:07:38;withdrawal scalable feed;Bacon Music;true;2021-11-08T08:32:30;2021-11-08T04:01:06
5;Virginia;CFP;Mobility;solution-oriented;2021-11-08T06:52:55;yellow;intranet blue;true;2021-11-08T10:45:31;2021-11-07T21:29:19
6;Kansas;compress improvement reboot;Concrete Industrial Dale;Franc Loan Supervisor;2021-11-07T21:18:32;Granite;Rubber;false;2021-11-07T16:23:35;2021-11-08T09:01:27
7;Dollar;Stravenue;Configuration;Sharable Investment leverage;2021-11-07T21:02:03;Bike Andorra foreground;quantify Bedfordshire;false;2021-11-07T14:24:27;2021-11-08T10:36:42
8;next-generation;Ergonomic;system Gardens;Mandatory Metrics programming;2021-11-08T12:25:01;THX real-time;interfaces;false;2021-11-07T18:01:56;2021-11-08T06:30:30
9;Investment;deposit Pants override;quantifying;Plastic;2021-11-08T02:12:06;Global Designer Somoni;clear-thinking;true;2021-11-07T14:40:43;2021-11-08T01:34:22
10;up XSS;archive Total;Mouse wireless Buckinghamshire;wireless Japan;2021-11-07T14:09:34;Avon mindshare;US Sports;true;2021-11-08T06:18:27;2021-11-07T20:41:14
