id;priorite;annee;mois;nb_ent;age_ent;matricule;code;lib_en;lib_ar;lib_fr;val_payroll;nb_days_leave;pour_val_payroll;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;72141;10499;44114;42774;24573;projection;driver alarm Consultant;Agent;stable;Human;68626;1756;36624;2021-11-07T17:46:43;dot-com;CSS Pound Brand;Flats Berkshire;Plastic;false;2021-11-07T21:20:06;2021-11-08T03:03:37
2;4181;25046;16913;66666;6828;Steel Pine;Assistant Quality-focused Home;Producer 1080p;Soap Incredible;Music SAS IB;45982;70245;32774;2021-11-07T19:13:37;Associate;payment B2B;and;Avon Fantastic Rubber;true;2021-11-07T21:25:14;2021-11-08T09:57:15
3;89063;56109;61174;28133;18507;toolset state RAM;ROI;Orchestrator silver New;Caledonia;Usability Account;84392;83616;16132;2021-11-07T19:37:23;grey;eyeballs;Cloned multimedia Haven;Electronics eco-centric;false;2021-11-08T06:20:14;2021-11-08T11:09:31
4;8803;60940;37649;31858;1052;Adaptive;Bulgarian calculating program;navigate schemas;Table Automotive Azerbaijanian;Granite;36819;65684;24393;2021-11-08T06:22:22;feed experiences Shilling;turn-key generate monitor;tan Ball;Fiji circuit;true;2021-11-07T20:30:15;2021-11-08T04:59:33
5;73069;49511;37425;53217;48196;Designer Refined Kazakhstan;mindshare Technician;Fresh;Awesome;green Ergonomic;6174;86501;52375;2021-11-07T21:42:56;Republic Clothing Cambridgeshire;Account Persevering;Mouse orange;knowledge Kenya deposit;true;2021-11-08T04:38:01;2021-11-08T11:36:10
6;76891;63788;64051;69784;11433;Louisiana;Parks Outdoors maroon;panel infomediaries;Facilitator Customer;Director Canadian even-keeled;3451;11255;44342;2021-11-07T20:26:44;Views;Spur deposit Avon;Rustic generating;Burgs black;true;2021-11-07T14:08:44;2021-11-07T14:34:58
7;20089;48215;26898;81602;77964;online Wells red;initiatives Optional Dynamic;SSL;EXE generate Malaysia;Buckinghamshire program bluetooth;75350;51976;38617;2021-11-07T16:48:46;Program indexing;maroon Developer Handcrafted;customized collaborative;cross-media;false;2021-11-07T20:44:07;2021-11-08T09:27:39
8;21306;62072;74389;85214;65148;magnetic Wooden Trinidad;help-desk impactful;microchip;New Account;override B2C grow;95882;65586;82653;2021-11-07T21:25:17;dynamic Accounts neural;haptic generating;action-items sensor Indiana;Hawaii Michigan;false;2021-11-08T03:59:29;2021-11-07T21:47:00
9;29085;45407;41172;86641;265;discrete Unbranded haptic;Steel;CSS deposit Connecticut;Wooden Keyboard tertiary;Distributed Underpass matrix;6776;30567;78552;2021-11-08T00:53:36;Hat navigate;Strategist;Computer;Namibia Djibouti;false;2021-11-07T17:47:24;2021-11-07T20:26:38
10;48041;36805;84985;98878;1473;Kwacha portals Berkshire;Industrial;24/7;Automotive card initiatives;Polarised;22642;14151;67997;2021-11-07T15:24:16;Integration;ADP Legacy;Quality cross-platform;Ringgit copy;true;2021-11-08T00:04:21;2021-11-08T02:25:06
