id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;metrics action-items;Computer Shoes synthesize;Self-enabling;Awesome;2021-11-08T08:34:13;Bacon Street calculate;Books;false;2021-11-08T06:35:07;2021-11-08T08:12:10
2;dynamic Borders Kentucky;Cotton Norfolk Berkshire;Metal Tasty Ariary;Islands,;2021-11-08T10:03:23;Future;Licensed magenta;false;2021-11-07T23:50:14;2021-11-08T08:27:03
3;HTTP;Soap Granite;Indiana;Manager PNG;2021-11-07T20:33:50;Tunisian Junctions plug-and-play;grey;true;2021-11-08T01:00:53;2021-11-08T08:05:44
4;eyeballs;Games Kids;Paradigm Soft;indigo;2021-11-08T12:46:06;payment Fresh;New;true;2021-11-08T09:47:16;2021-11-07T17:35:11
5;index Engineer;fuchsia hacking;array Philippines support;Card;2021-11-08T03:02:51;synergize Metrics blue;Avon withdrawal;false;2021-11-08T10:39:09;2021-11-07T19:16:09
6;generating Dollar Strategist;Games Internal sexy;dedicated Shirt Dakota;Card Jewelery;2021-11-08T00:05:32;rich syndicate;Rupee;false;2021-11-08T11:21:18;2021-11-07T23:04:32
7;Bike;Group Via Communications;upward-trending override parse;Borders;2021-11-08T07:52:01;Rubber Executive;optical;true;2021-11-07T23:46:36;2021-11-07T18:16:37
8;Trace;Buckinghamshire sensor;Account Rubber Auto;Crossroad Cambridgeshire Knoll;2021-11-08T11:47:54;e-business;SQL bifurcated;false;2021-11-08T12:25:50;2021-11-07T23:01:13
9;Account Loan;Computers;Computers;mission-critical Dollar;2021-11-07T15:20:54;Granite;solid auxiliary;true;2021-11-08T10:10:13;2021-11-07T22:49:12
10;New;Liaison Rustic;compressing lavender array;Chief optical Belarus;2021-11-08T06:28:00;backing Plains implement;Reduced Multi-tiered;true;2021-11-08T04:36:43;2021-11-08T01:59:03
