id;priorite;value_calcul;code;lib_ar;lib_en;dateop;util;modified_by;op;is_deleted;created_date;modified_date
1;55009;87735;bandwidth Web SAS;reboot payment;Granite Cambridgeshire clicks-and-mortar;2021-11-08T11:42:03;Usability;Engineer homogeneous;Shoes Cotton;false;2021-11-07T14:41:30;2021-11-07T18:44:24
2;81237;19874;copy withdrawal feed;Keyboard Avon;Baby;2021-11-08T04:43:01;Salad;Rubber Movies compressing;Cuba;false;2021-11-07T15:58:58;2021-11-08T04:17:58
3;67836;32081;visualize;Bhutan Account Beauty;hacking;2021-11-07T22:30:43;hacking;cross-platform set;HDD eyeballs;false;2021-11-07T23:43:53;2021-11-08T05:27:03
4;9618;73902;optimize Electronics;Brand deposit;Agent transmitting Berkshire;2021-11-07T18:32:13;users Automated;Dominican;payment;false;2021-11-07T23:18:09;2021-11-08T10:15:33
5;5813;82232;Bedfordshire payment;Technician;Dynamic generating;2021-11-07T13:54:32;archive Proactive Intelligent;intuitive;blockchains;true;2021-11-07T14:35:25;2021-11-08T01:16:03
6;79673;38488;Garden drive;Bahraini JBOD;Freeway FTP Gorgeous;2021-11-07T16:19:41;Guam Soap invoice;RAM;parse ivory Tactics;false;2021-11-08T13:02:17;2021-11-08T04:38:04
7;30312;98207;Avon Adaptive Won;Car Heights clicks-and-mortar;orange auxiliary Toys;2021-11-08T06:15:05;out-of-the-box quantify;concept;SCSI high-level;true;2021-11-08T00:14:22;2021-11-07T17:25:59
8;21684;40542;black driver;Courts;Toys paradigms;2021-11-08T01:32:18;emulation;Chicken;hybrid;false;2021-11-08T07:27:58;2021-11-08T00:37:29
9;77196;95367;Rustic Associate;Cambridgeshire;Iran Beauty;2021-11-08T10:10:31;Hawaii;intangible Movies;Concrete open-source reboot;true;2021-11-07T22:16:35;2021-11-07T15:35:37
10;40669;11929;analyzer;firewall transmitting;Shoes deposit;2021-11-07T23:05:34;invoice e-tailers;Practical Granite;Awesome;false;2021-11-08T06:30:08;2021-11-08T08:25:04
