id;code;lib;annee;mois;date_calcul;date_valid;date_payroll;total_net;total_net_devise;taux_change;calcul_by;effect_by;date_situation;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;Re-engineered;calculating Small;80443;41305;2021-11-07;2021-11-08;2021-11-08;66561;68318;79541;Pataca;open front-end radical;2021-11-07;2021-11-07T13:32:43;intermediate Wooden;JBOD Berkshire Senior;Human;hack invoice;true;2021-11-08T04:14:10;2021-11-08T06:19:14
2;Agent Ameliorated;Rubber Tuna;9682;64034;2021-11-07;2021-11-07;2021-11-08;5096;8572;35579;Bedfordshire Mongolia;multi-byte;2021-11-08;2021-11-08T09:29:16;Car Spring;XSS global;Florida;Chips;false;2021-11-07T13:36:08;2021-11-08T03:52:25
3;Points Tactics;hacking;13199;65087;2021-11-08;2021-11-08;2021-11-08;88905;11852;40668;mesh;IB Nebraska driver;2021-11-07;2021-11-08T07:40:53;reciprocal Sports;green Buckinghamshire multi-byte;UIC-Franc Total deposit;Liberia;true;2021-11-07T15:12:29;2021-11-08T09:30:39
4;matrix GB Concrete;digital;17545;16969;2021-11-07;2021-11-07;2021-11-07;28248;62087;49964;up Grocery;leading Land;2021-11-07;2021-11-08T03:54:21;calculating;Estonia;well-modulated Home;distributed initiatives;false;2021-11-07T22:11:27;2021-11-08T02:03:21
5;reboot;quantifying directional;57188;20896;2021-11-08;2021-11-07;2021-11-08;41722;42408;71604;compelling;Assistant panel;2021-11-07;2021-11-08T08:09:48;Practical;Gorgeous Turnpike;deposit;RSS;false;2021-11-07T13:24:43;2021-11-08T01:02:14
6;Outdoors Riel background;Tasty engineer asymmetric;59957;25998;2021-11-08;2021-11-07;2021-11-07;49688;86796;46217;granular;Som tan;2021-11-07;2021-11-07T21:39:23;firewall Concrete Gorgeous;Dale Marketing;copy;state maroon Gorgeous;false;2021-11-07T22:13:28;2021-11-07T19:42:30
7;world-class Metal;Samoa programming;65284;79665;2021-11-08;2021-11-07;2021-11-08;10043;93887;98368;Monaco generation Buckinghamshire;generate Mobility Mouse;2021-11-07;2021-11-07T21:21:29;Bacon back-end deposit;real-time bypassing Cotton;Rhode Colombia;Gorgeous Intranet navigating;false;2021-11-07T18:51:31;2021-11-08T06:05:45
8;Fish quantifying;cross-platform Metal;44033;66893;2021-11-08;2021-11-08;2021-11-08;66336;84414;39875;input Cambridgeshire;end-to-end Expanded Bolivia;2021-11-08;2021-11-07T13:56:30;action-items Berkshire;Points Customer eyeballs;Organic;Electronics;true;2021-11-08T07:05:10;2021-11-08T12:16:10
9;Mobility Future-proofed panel;Realigned;23994;88279;2021-11-07;2021-11-07;2021-11-07;18627;48083;73023;Generic Fields;maximized;2021-11-08;2021-11-08T08:14:46;Practical;neutral bypassing;Glen;Andorra interface;false;2021-11-07T19:37:16;2021-11-08T01:27:46
10;Marketing;Garden Hat Auto;37990;59885;2021-11-08;2021-11-07;2021-11-08;45775;17682;11167;Micronesia encompassing;parsing Jersey;2021-11-07;2021-11-07T22:39:07;Re-engineered regional;Chips;AGP Pants;USB Chicken;false;2021-11-08T11:30:50;2021-11-08T01:28:27
