id;util;code;lib_ar;lib_fr;lib_er;value_rebrique;value_reb_devise;taux_change;date_calcul;date_effect;calcul_by;effect_by;date_situation;dateop;modified_by;created_by;op;is_deleted;created_date;modified_date
1;deposit;Fresh Licensed;Orchestrator Morocco;Specialist;Convertible;33742;72444;44380;2021-11-08;2021-11-08;Wooden;copying customized;2021-11-07;2021-11-07T18:07:20;incentivize Borders Rubber;Optimization service-desk brand;24 Extended;true;2021-11-08T04:52:42;2021-11-08T07:48:29
2;olive;index Pound Guinea;Associate Awesome;input Account;website hacking Gloves;58000;26584;84108;2021-11-07;2021-11-08;invoice target e-markets;productize e-enable Investor;2021-11-08;2021-11-07T17:29:32;Bedfordshire Connecticut cyan;GB;Baby Kids;false;2021-11-08T07:24:27;2021-11-08T08:59:09
3;dot-com parse Stand-alone;Fresh capacitor;Fantastic Savings monitoring;Salad strategize Garden;bluetooth Tuna Illinois;34222;69909;50056;2021-11-07;2021-11-08;deposit;up Liberia;2021-11-08;2021-11-07T20:23:37;payment Innovative Wyoming;Assistant Corporate;SQL copying;true;2021-11-07T21:32:02;2021-11-07T14:17:40
4;orange invoice;hack;initiatives connecting;orange;Cambridgeshire Chips;83329;21711;32816;2021-11-08;2021-11-07;Books Web Baby;synthesize grow Bacon;2021-11-08;2021-11-08T01:37:55;copy bricks-and-clicks Jamahiriya;compress;client-driven;false;2021-11-08T09:00:08;2021-11-07T17:58:42
5;Frozen;synergies deposit;THX Vermont Implementation;seamless Soap;Expressway;19223;9672;85741;2021-11-08;2021-11-07;Cook Global;Ridge e-services States;2021-11-08;2021-11-08T01:29:53;Cambridgeshire Port;payment database seize;International Intelligent parse;true;2021-11-08T00:15:45;2021-11-08T07:39:39
6;Home holistic Games;connect;Mission;Account Account;Jewelery;85511;13821;25179;2021-11-08;2021-11-08;green Auto HDD;Tanzania Small invoice;2021-11-08;2021-11-08T12:53:51;Cambridgeshire;Circles Versatile SQL;back-end;true;2021-11-08T08:45:49;2021-11-07T19:23:36
7;online Computer SMTP;homogeneous Keyboard Regional;Korean global;Optional;Division Bedfordshire Public-key;92027;50305;98665;2021-11-07;2021-11-08;bypassing;navigate;2021-11-07;2021-11-07T17:42:39;rich;neural;Bermuda Forges Intelligent;true;2021-11-08T08:17:27;2021-11-08T12:07:19
8;end-to-end Soft;Tools;transparent Garden;transparent withdrawal;Port;96829;27573;55927;2021-11-08;2021-11-07;Pound Checking;redundant bypass;2021-11-08;2021-11-07T15:49:09;methodologies Technician;Beauty Fantastic deposit;client-driven Coordinator;false;2021-11-07T22:37:03;2021-11-07T16:11:50
9;Oro administration Coordinator;HDD Investment;Account;Gateway Minnesota;Account Hong;11761;48176;60099;2021-11-07;2021-11-07;Passage Developer;Kids open-source Table;2021-11-08;2021-11-08T07:36:56;Assistant digital compelling;Mexico time-frame Frozen;application Card generating;false;2021-11-07T19:35:25;2021-11-08T05:24:16
10;compress;Beauty backing the;multi-byte Garden;IB Fresh matrix;Functionality;59459;57232;62495;2021-11-08;2021-11-07;navigating;Grocery Shoes;2021-11-08;2021-11-07T13:36:11;Account;Investment quantify multi-byte;Shoes Steel;false;2021-11-08T10:05:19;2021-11-08T08:43:00
