id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Syrian Concrete PCI;Legacy Bedfordshire Books;blue plum;definition;2021-11-07T16:42:59;Horizontal overriding Associate;Alabama Buckinghamshire;true;2021-11-07T15:13:23;2021-11-08T11:20:38
2;Garden;Borders 24/7;Sausages Checking;Dakota Cambridgeshire;2021-11-08T11:19:50;Movies;Salad bypass Loan;false;2021-11-07T22:50:51;2021-11-07T14:31:43
3;copy Small bandwidth;Guarani;Dakota;Czech Australian;2021-11-08T08:35:38;transmit revolutionary communities;Metal;false;2021-11-08T00:19:36;2021-11-07T21:08:03
4;redundant synthesize;Metal enhance override;leverage;Progressive e-enable;2021-11-07T17:48:14;clicks-and-mortar;XML transition;false;2021-11-07T15:38:36;2021-11-08T09:24:05
5;North;Quality-focused cross-media;Refined;Borders;2021-11-07T17:49:00;aggregate Beauty circuit;input fuchsia;false;2021-11-07T21:33:49;2021-11-07T19:25:48
6;knowledge multi-byte;(customarily;Rubber Soft experiences;Buckinghamshire Human;2021-11-07T14:21:47;USB Account driver;synergies Strategist;true;2021-11-08T05:50:36;2021-11-08T11:05:48
7;Planner;Lakes;Buckinghamshire purple;parse Junction;2021-11-07T23:40:23;Horizontal Rustic extensible;Table cyan firewall;false;2021-11-08T08:47:24;2021-11-08T08:17:07
8;e-business Missouri;Identity Berkshire;hacking;SQL green;2021-11-07T16:38:29;application embrace;Fish;true;2021-11-08T00:22:34;2021-11-07T19:47:26
9;Small policy feed;Soft;Silver pink payment;invoice open-source Cotton;2021-11-08T10:59:58;Buckinghamshire;Shoes deposit navigating;true;2021-11-07T15:57:29;2021-11-07T20:08:33
10;ROI;Loan Keyboard Metal;Hat Ghana;Dynamic;2021-11-07T19:23:33;Extended Argentine;circuit Beauty copy;false;2021-11-08T11:00:03;2021-11-07T20:05:46
