id;op;util;date_op
1;Coordinator Movies reboot;Soft Massachusetts Identity;2021-11-08T11:37:42
2;quantifying;maroon;2021-11-07T21:26:42
3;Roads;open Guarani;2021-11-08T03:04:04
4;Pants;reboot Chief matrices;2021-11-08T12:45:15
5;Facilitator;Berkshire web-enabled monetize;2021-11-08T00:43:22
6;online Avon French;solid Small Orchestrator;2021-11-07T17:17:41
7;Handmade;Concrete productize quantify;2021-11-07T19:29:01
8;virtual;parsing reboot task-force;2021-11-07T23:45:57
9;Niue Frozen;Producer;2021-11-08T07:37:07
10;e-business task-force Lead;Steel;2021-11-07T17:24:54
