id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;withdrawal flexibility Fresh;Oklahoma;circuit deploy Liberia;proactive;2021-11-07T18:50:24;parsing Investment New;transmit;false;2021-11-07T17:37:30;2021-11-07T14:24:42
2;Metal;Mouse Stand-alone haptic;calculating relationships;optimize Ouguiya;2021-11-08T08:24:08;Minnesota back-end Wooden;discrete Decentralized;false;2021-11-07T16:13:45;2021-11-07T17:55:00
3;Buckinghamshire mesh;Concrete;Arizona;Chips United withdrawal;2021-11-07T15:26:41;Enhanced Optimization Handcrafted;Home parse parse;true;2021-11-08T01:31:11;2021-11-07T14:42:34
4;SAS;architectures Health Iowa;Central;extensible copying generation;2021-11-08T11:49:09;pink PCI;panel Locks;true;2021-11-08T07:01:22;2021-11-08T10:13:00
5;Savings Toys;structure Usability;Practical Account;Keyboard;2021-11-08T08:29:28;port Missouri;USB deposit Mobility;false;2021-11-08T11:44:54;2021-11-08T05:37:02
6;models blue;Island Dynamic Shores;Account;Engineer transmit;2021-11-07T16:42:37;Chair interface;Won;true;2021-11-08T07:06:02;2021-11-08T02:35:47
7;quantifying Cambridgeshire card;networks;streamline initiatives;out-of-the-box;2021-11-07T15:37:02;user-centric;Tuna Concrete;true;2021-11-08T06:46:26;2021-11-07T15:17:06
8;Functionality Barbados;orchid Africa Berkshire;Forward;Market bypassing Practical;2021-11-08T03:42:47;Ringgit transmitting interface;engage;false;2021-11-08T10:54:30;2021-11-08T09:22:08
9;Small Afghanistan Steel;copying;Bike Expanded networks;Soap Rubber;2021-11-07T15:11:35;Hat;initiatives Accounts Open-architected;false;2021-11-07T19:02:04;2021-11-07T20:38:44
10;Progressive interface Account;withdrawal Open-source Bedfordshire;Sleek;Malawi;2021-11-08T02:00:11;ADP;Plastic;false;2021-11-08T00:58:01;2021-11-08T10:57:19
