id;order_level;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;36994;convergence ADP Exclusive;Unbranded Program navigating;Armenia;haptic transitional;2021-11-07T19:41:44;Chief Lead copy;Alaska;false;2021-11-07T21:27:15;2021-11-08T05:19:02
2;53749;Borders violet Representative;5th International;Product;Bedfordshire;2021-11-08T02:29:05;azure SDR New;Parks Central;true;2021-11-08T06:07:50;2021-11-08T05:39:09
3;81747;Light blockchains Engineer;Shirt;Plastic;Human;2021-11-08T06:21:54;optimizing Profound;Steel Savings;false;2021-11-07T17:14:39;2021-11-07T23:47:07
4;49940;payment Italy;Distributed Gloves feed;Developer eyeballs Chair;synthesizing;2021-11-08T11:32:47;monitor Yen transmitter;Chicken;false;2021-11-08T07:35:40;2021-11-08T05:03:36
5;3869;wireless;Bacon Loan FTP;Kentucky;invoice Utah Uganda;2021-11-07T19:07:22;Yemen Handmade;B2B;true;2021-11-07T18:46:07;2021-11-08T07:33:56
6;87001;Future-proofed Maryland;Paradigm open-source Oklahoma;feed;HTTP neural-net Principal;2021-11-08T00:04:53;Jersey Steel Keys;holistic;true;2021-11-07T16:57:57;2021-11-08T05:01:16
7;81872;Saint Future-proofed Forward;Card Principal Guinea-Bissau;Nebraska mission-critical;Agent Shoes Configuration;2021-11-08T07:31:36;Avon;Wooden;true;2021-11-08T10:43:48;2021-11-07T20:03:28
8;25689;Account encompassing;SAS Digitized;Square;Wells web-readiness New;2021-11-08T12:24:37;Dollar;capability teal Account;false;2021-11-08T01:33:52;2021-11-08T13:02:39
9;60903;Valley;hacking web-enabled;AI;Response pricing;2021-11-08T02:12:08;withdrawal;deposit Tuna;false;2021-11-08T07:27:05;2021-11-08T00:00:07
10;27040;COM;withdrawal Account Bolivar;Wooden;help-desk Car;2021-11-08T07:00:42;Computers methodology;invoice;true;2021-11-08T03:36:58;2021-11-07T15:22:54
