id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Reactive Face mindshare;SMTP Chicken parsing;engineer SAS Tools;Wall Investor Swedish;2021-11-07T20:58:05;Myanmar back;Cotton alarm;false;2021-11-08T09:05:39;2021-11-07T18:13:49
2;deposit;redefine compelling;Pizza motivating e-tailers;Metal;2021-11-07T21:24:57;Car;panel;true;2021-11-07T19:23:34;2021-11-08T07:17:55
3;SQL Concrete;Granite;Customer Frozen deposit;bandwidth-monitored matrix;2021-11-08T12:24:41;Salad;Credit Account Devolved;false;2021-11-08T08:07:19;2021-11-08T00:57:49
4;Ergonomic Throughway transmit;customer synthesize;sticky;Cheese Hawaii compelling;2021-11-08T10:38:03;interactive deposit;parse input;true;2021-11-08T03:38:17;2021-11-07T16:41:14
5;USB;initiatives;Cambridgeshire;Pine array Avon;2021-11-08T02:26:28;initiatives;Denar firewall;false;2021-11-07T15:41:55;2021-11-07T19:04:14
6;calculate;deposit backing;B2C convergence;adapter;2021-11-07T23:34:57;Metal;systems Extended Dominica;false;2021-11-07T19:19:38;2021-11-07T14:28:11
7;index Electronics Ergonomic;matrix Garden Handcrafted;Credit;gold Agent;2021-11-08T09:22:05;Bedfordshire Analyst;Locks Bermuda;false;2021-11-08T04:11:39;2021-11-08T09:20:20
8;Legacy killer;Borders;Granite functionalities;Granite;2021-11-07T21:44:52;invoice bifurcated;override compress;true;2021-11-07T22:19:48;2021-11-08T06:13:27
9;Unbranded;Verde Steel;Loan Movies;Garden HDD;2021-11-08T10:43:27;Bedfordshire;AGP Assistant Hampshire;true;2021-11-07T23:48:37;2021-11-07T16:36:25
10;Plastic 3rd;Lari Incredible;Synchronised;schemas Wisconsin interfaces;2021-11-07T18:35:22;Advanced Isle;Personal indexing;true;2021-11-08T03:56:25;2021-11-07T15:35:43
