id;priorite;code;lib_ar;lib_fr;lib_en;in_tax;min_value;max_value;date_situation;dateop;modified_by;created_by;util;op;is_deleted;created_date;modified_date
1;32614;Cotton Uganda;needs-based architectures;portals schemas Reactive;invoice;true;89182;74499;2021-11-07;2021-11-07T14:18:22;Grocery e-commerce New;Loan Borders Corner;Fresh;Incredible Beauty portal;true;2021-11-08T03:21:52;2021-11-08T02:06:29
2;83616;Niue override Advanced;protocol;Brand;invoice Landing Pass;true;19516;46585;2021-11-08;2021-11-07T20:48:13;Consultant;innovative optical;North District;plum Car Avon;false;2021-11-07T22:56:17;2021-11-07T15:43:00
3;69541;parsing;programming;withdrawal Awesome;Salvador Avon;false;84636;92461;2021-11-07;2021-11-07T21:23:50;Shirt bypass Gloves;Buckinghamshire;Home Principal;Cheese CSS;false;2021-11-08T07:48:57;2021-11-08T12:00:50
4;36116;Generic Djibouti;heuristic action-items primary;reintermediate Euro;AI Senior;true;65672;99828;2021-11-08;2021-11-08T04:33:56;online;Malaysia;override application;Court National generating;false;2021-11-08T07:04:18;2021-11-07T15:47:55
5;32803;Baby District hierarchy;Canada;backing Factors;leading-edge;true;82360;78105;2021-11-08;2021-11-07T17:28:45;Avon;Beauty payment;cyan clicks-and-mortar;compressing Indiana;true;2021-11-07T14:16:00;2021-11-08T02:08:18
6;13655;Wooden Investment Arkansas;Product integrated;transmitting;web-readiness;false;90745;92262;2021-11-08;2021-11-07T19:25:59;Alabama methodical defect;portals;up;Licensed Principal protocol;false;2021-11-08T07:43:29;2021-11-07T18:52:03
7;40364;Analyst;Avon foreground Berkshire;interactive payment IB;user;true;27417;84992;2021-11-07;2021-11-08T03:26:57;Arizona;Centralized;Algerian proactive;bypass Synergistic;true;2021-11-08T09:49:37;2021-11-07T20:35:49
8;38739;synthesizing;experiences productize;Mouse programming;Dollar;false;98463;47631;2021-11-07;2021-11-07T20:51:26;and;pink virtual;Expanded stable deposit;schemas Table;true;2021-11-08T09:42:36;2021-11-08T09:37:33
9;1037;Polarised blue;Plains Health North;Rubber Walks Legacy;HTTP Account platforms;true;67489;76050;2021-11-07;2021-11-08T02:24:58;Directives systems;Soft Buckinghamshire payment;whiteboard Proactive;Home Sports Investment;false;2021-11-07T14:27:55;2021-11-07T23:35:05
10;44505;Handcrafted programming toolset;incubate;mint non-volatile Checking;1080p;true;55566;69254;2021-11-08;2021-11-08T11:29:02;Implemented Lakes;Plains Games;Cheese red driver;Direct;true;2021-11-08T09:28:30;2021-11-08T01:40:20
