id;code;entity_target;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Accounts Incredible;Run Developer bluetooth;Terrace Director connecting;Refined bypass paradigms;Borders sensor;2021-11-08T05:34:58;web-enabled Peso;pixel black haptic;false;2021-11-07T16:14:24;2021-11-08T06:55:09
2;Manager Account Flats;connecting back-end Refined;innovate haptic;Borders workforce fuchsia;analyzer;2021-11-08T00:40:04;Intranet Ergonomic state;Future-proofed;true;2021-11-07T18:21:22;2021-11-07T14:51:37
3;Bedfordshire violet;Bedfordshire bandwidth Danish;turquoise Cheese;eyeballs Track;Berkshire;2021-11-08T02:51:10;Frozen solution-oriented;Representative innovate intranet;true;2021-11-07T13:38:34;2021-11-07T19:40:56
4;Harbors intranet;Steel Account drive;Computer;Neck Jewelery Utah;Frozen;2021-11-08T02:50:56;Optimization;Universal Seychelles;false;2021-11-07T21:55:40;2021-11-08T04:24:39
5;interactive;strategic bypass Stravenue;Pizza motivating;alarm;Specialist Rubber;2021-11-07T16:16:23;Michigan;technologies;false;2021-11-07T21:04:31;2021-11-08T10:41:20
6;Director Mouse;withdrawal payment;convergence Intelligent dot-com;Kuwait;navigating Investor Loaf;2021-11-08T03:42:43;generating;Industrial Arabia;false;2021-11-08T09:15:14;2021-11-07T15:45:47
7;digital Supervisor Sleek;TCP;Borders;Refined;revolutionary;2021-11-08T12:01:03;Roads Kenyan digital;harness Wisconsin olive;false;2021-11-07T14:59:24;2021-11-08T10:12:22
8;Metal Hawaii;ADP Music Multi-tiered;synthesize;International;Designer moratorium Bedfordshire;2021-11-08T03:14:45;transmit Loan;Granite program;false;2021-11-08T07:53:10;2021-11-08T09:24:07
9;Chair;open-source Implementation networks;Bedfordshire hard invoice;Saint;Florida iterate calculate;2021-11-08T12:38:47;indigo deposit zero;white;false;2021-11-08T08:06:52;2021-11-08T10:10:31
10;utilize;gold Philippines deposit;Frozen parsing logistical;optical Steel;efficient Hryvnia Cotton;2021-11-08T03:45:16;Keyboard hacking Baby;Multi-lateral gold;false;2021-11-07T14:16:31;2021-11-07T21:23:32
