id;code;lib_ar;lib_en;dateop;util;modified_by;op;is_deleted;created_date;modified_date
1;proactive;Account generating;Account;2021-11-08T09:40:49;user-facing;Aruba;compress;true;2021-11-08T12:58:55;2021-11-07T21:10:55
2;Wisconsin;front-end Future;Oregon;2021-11-07T15:05:08;time-frame Springs;cutting-edge technologies Metal;Loan Optimized Bike;true;2021-11-07T13:59:42;2021-11-07T15:49:24
3;Personal olive Mountains;withdrawal experiences International;Branch;2021-11-08T09:35:29;white;SQL;Buckinghamshire GB;false;2021-11-07T19:57:22;2021-11-07T23:35:20
4;override attitude-oriented navigate;District Cotton;Aruba;2021-11-07T17:08:58;Louisiana;Indiana;black Sleek monitor;false;2021-11-08T00:21:20;2021-11-07T22:46:58
5;Legacy Reverse-engineered Beauty;wireless;Vermont Garden;2021-11-08T08:34:13;Credit up navigating;benchmark;user-centric Accounts;false;2021-11-08T09:27:52;2021-11-08T09:58:07
6;Baby;override copy;Ridge Account Pants;2021-11-08T06:19:05;withdrawal;Wooden payment;Music;false;2021-11-07T21:46:19;2021-11-08T07:48:24
7;Fresh;SQL Central Factors;heuristic Shirt;2021-11-08T09:42:37;Avon Liaison PCI;Burundi Toys Computers;lime e-commerce;true;2021-11-08T10:04:17;2021-11-07T22:30:04
8;gold parse;synthesizing Junctions;Movies;2021-11-07T23:32:31;XML Tuna Pound;Paradigm EXE Borders;deposit;true;2021-11-08T02:03:44;2021-11-08T03:11:47
9;platforms Licensed interfaces;back-end lavender Representative;bandwidth;2021-11-07T21:05:28;Berkshire Hat Developer;Movies;Lights Pound;false;2021-11-07T15:30:37;2021-11-07T22:33:10
10;calculate;value-added XML FTP;Integration alarm Falkland;2021-11-07T18:45:25;scale COM;Small Investment Checking;matrices parsing Creative;true;2021-11-08T07:13:13;2021-11-08T00:21:04
