id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Table;open-source;Integration;Refined metrics e-commerce;2021-11-08T10:17:39;Internal XML Chips;enterprise Steel;true;2021-11-07T17:08:09;2021-11-08T09:27:36
2;Chad harness;red Dominica;Tasty methodologies Realigned;Chicken Overpass;2021-11-07T23:27:19;Music Investment;Investor compress;false;2021-11-08T04:52:37;2021-11-07T15:13:01
3;Versatile bypass California;JSON Communications;connecting systems;networks;2021-11-08T00:52:22;Baby Borders;SQL Avon;false;2021-11-08T08:50:06;2021-11-07T15:27:18
4;bricks-and-clicks driver;Wooden Computers;pixel Lithuania;Verde Islands Tasty;2021-11-08T09:31:22;uniform Sleek;Franc;true;2021-11-08T06:10:56;2021-11-07T20:54:36
5;global;Future Customer 6th;UIC-Franc;Pennsylvania Unbranded;2021-11-08T05:48:54;synergy Granite;innovative;true;2021-11-07T17:02:34;2021-11-08T11:34:36
6;Chicken methodologies Human;Handcrafted Tasty UIC-Franc;mint Supervisor quantify;quantify Metal Lead;2021-11-08T06:33:41;interface;moratorium;false;2021-11-08T09:40:58;2021-11-07T15:08:19
7;Shoes Berkshire;Table streamline Practical;ROI circuit Licensed;Sterling Loan Security;2021-11-08T10:40:49;Front-line;Buckinghamshire Compatible Fish;true;2021-11-07T15:25:56;2021-11-07T16:03:33
8;magenta;Designer Knoll;green Architect Web;Bedfordshire Fresh Pizza;2021-11-08T12:13:26;rich;Brazilian;true;2021-11-08T05:38:32;2021-11-08T08:51:22
9;Toys auxiliary bandwidth;Tools quantify;SMS Personal;generate;2021-11-08T09:10:40;national;Soap Investor Central;false;2021-11-07T21:16:26;2021-11-08T10:08:43
10;Azerbaijanian Steel turquoise;Loan Future Re-contextualized;Shirt Monetary synthesize;Optional;2021-11-08T11:58:33;Generic;Cheese;false;2021-11-08T12:50:33;2021-11-07T18:23:59
