id;date_debut;date_fin;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;2021-11-08;2021-11-07;Somalia leverage;2021-11-07T20:46:45;Plastic compress indexing;Granite Compatible definition;true;2021-11-08T01:53:01;2021-11-08T06:41:00
2;2021-11-07;2021-11-08;Pizza Intelligent;2021-11-08T04:27:54;Officer Kentucky;Industrial;true;2021-11-08T04:17:48;2021-11-07T18:18:26
3;2021-11-07;2021-11-07;grid-enabled Virginia seize;2021-11-08T00:42:33;Account;Maine back-end indigo;true;2021-11-07T22:41:44;2021-11-07T22:47:19
4;2021-11-07;2021-11-08;withdrawal Buckinghamshire blue;2021-11-08T01:46:22;stable recontextualize;enhance;false;2021-11-08T01:14:41;2021-11-08T03:06:11
5;2021-11-08;2021-11-08;Future JSON systems;2021-11-08T08:38:26;Cambridgeshire portals Associate;productize needs-based AGP;true;2021-11-08T04:53:43;2021-11-07T23:48:14
6;2021-11-07;2021-11-08;architect cultivate programming;2021-11-07T21:57:28;Human Berkshire;compress Reunion Grocery;false;2021-11-08T05:50:34;2021-11-08T00:30:40
7;2021-11-07;2021-11-07;generate;2021-11-08T02:45:37;Soft bypass Manager;Dynamic Cambridgeshire;false;2021-11-08T07:16:05;2021-11-07T19:15:26
8;2021-11-07;2021-11-08;Eritrea bypassing program;2021-11-07T15:57:48;Som;Intelligent;false;2021-11-07T14:27:48;2021-11-08T04:39:27
9;2021-11-08;2021-11-08;solid back;2021-11-08T09:40:54;capacitor;Shilling Fresh;true;2021-11-08T09:04:40;2021-11-07T14:09:26
10;2021-11-08;2021-11-08;cutting-edge;2021-11-07T15:49:46;Licensed Berkshire compressing;port;false;2021-11-07T16:48:11;2021-11-07T22:32:51
