id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Loop;teal Configurable Montserrat;SAS online;Bike;2021-11-07T18:30:45;withdrawal Product;Cotton;true;2021-11-08T04:15:05;2021-11-07T21:00:28
2;Sports COM Shoes;calculating;discrete Sports;Product Island;2021-11-08T00:14:05;overriding Generic;wireless connect;false;2021-11-08T06:04:15;2021-11-08T03:06:12
3;generating Idaho;Wooden archive Human;Branding Dynamic;Pass Global;2021-11-08T04:02:21;Usability;Fantastic;true;2021-11-08T04:30:19;2021-11-08T10:37:56
4;quantifying optimize;mindshare Islands;SMS Sterling;Soft Plaza Wooden;2021-11-08T05:28:00;contextually-based Home Card;paradigms;true;2021-11-07T19:57:42;2021-11-08T05:53:41
5;Rubber digital;Loan Reduced Infrastructure;payment;Pines;2021-11-08T10:10:29;ADP withdrawal;Unbranded;true;2021-11-07T22:25:16;2021-11-08T01:48:32
6;Buckinghamshire invoice;reintermediate;Inverse Profound;Afghanistan Lats Small;2021-11-08T04:32:58;parsing;Spring Coordinator Creative;true;2021-11-08T08:12:55;2021-11-07T19:20:49
7;Senegal digital;payment black Courts;eco-centric auxiliary;Central multi-byte;2021-11-08T05:20:39;compress JBOD;Liaison;true;2021-11-08T13:18:04;2021-11-08T04:52:58
8;Terrace Idaho;markets ubiquitous;Concrete e-markets Grenada;bleeding-edge;2021-11-08T04:58:51;Books Won Account;stable;false;2021-11-07T13:25:07;2021-11-08T01:03:25
9;synthesize Refined Roads;experiences override;European Alaska;Chief Extension;2021-11-07T18:26:21;parse methodical;Investment;false;2021-11-07T19:55:03;2021-11-07T19:47:46
10;generating;Metrics back-end;Fresh;mesh;2021-11-07T20:05:27;success;Metrics;true;2021-11-08T00:41:13;2021-11-07T19:29:56
