id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Designer Refined Account;Trail compress Diverse;Integration;web-enabled;2021-11-07T17:49:07;Jewelery Specialist;Future Montenegro Towels;true;2021-11-07T18:26:36;2021-11-07T20:59:46
2;Computers;bandwidth Cambridgeshire static;application PCI Lead;Cheese;2021-11-08T11:06:19;Concrete transmit explicit;bleeding-edge withdrawal Cotton;false;2021-11-07T16:28:25;2021-11-08T10:35:44
3;Utah real-time;niches value-added high-level;Regional virtual Account;Awesome;2021-11-08T09:52:57;Ball Somali protocol;Greens RAM;false;2021-11-08T13:00:02;2021-11-08T00:53:32
4;indigo withdrawal;Principal withdrawal;withdrawal;Wooden Product;2021-11-07T16:57:09;array;red;true;2021-11-08T02:17:38;2021-11-08T10:03:57
5;Officer;Ergonomic Soft;Tools matrix;metrics Practical programming;2021-11-08T06:11:55;approach withdrawal repurpose;back Games;true;2021-11-07T19:48:58;2021-11-07T19:53:18
6;haptic;compressing Cheese;area COM alarm;payment;2021-11-08T06:10:55;Avon systems;testing;true;2021-11-07T18:10:16;2021-11-08T00:19:47
7;Engineer Idaho;Direct Chips Shoes;Corporate Sausages online;Consultant;2021-11-07T23:06:00;Pula Marketing optical;Soft orange sky;true;2021-11-08T03:45:14;2021-11-07T15:33:01
8;hacking;Developer Developer;Account SDR front-end;Berkshire Street input;2021-11-08T06:48:14;Fiji;payment Plastic;false;2021-11-08T02:01:43;2021-11-08T11:33:05
9;Connecticut;Optimization dynamic;auxiliary Mouse Response;Balanced Soft Baby;2021-11-08T12:10:47;Expanded interactive;Internal;false;2021-11-07T19:10:45;2021-11-08T07:21:35
10;Philippine bluetooth Implemented;Connecticut invoice;grow;Legacy supply-chains challenge;2021-11-08T12:02:51;Account transform Small;Oklahoma toolset;false;2021-11-07T15:46:24;2021-11-08T03:12:27
