id;code;lib_en;lib_ar;annee;min_val;max_val;util;dateop;date_modif;modified_by;op;is_deleted
1;connecting;Divide open primary;Account;8173;64623;35158;Savings;2021-11-07T18:14:13;2021-11-08T07:32:55;Sausages access program;bluetooth Auto Virtual;true
2;XSS;Credit;brand innovate;32637;40606;30013;compress Alaska;2021-11-08T04:44:18;2021-11-07T22:57:30;dot-com Somali quantifying;HDD standardization;false
3;Compatible;Designer firewall Steel;Health Mobility;76588;58276;90578;Handcrafted Cotton Research;2021-11-07T14:10:03;2021-11-07T23:21:06;rich;flexibility Islands enable;false
4;lime;Handcrafted Gourde protocol;Extensions;25673;27032;80028;compressing Martinique Avon;2021-11-07T19:49:18;2021-11-08T13:04:59;instruction Nicaragua;Samoa;true
5;solid dot-com;Grass-roots;COM;48062;66370;74277;Handmade Gloves;2021-11-07T22:29:36;2021-11-07T16:38:48;secondary connect;Handmade;true
6;Industrial;Terrace;Keyboard indexing;89592;28618;22314;Dollar input target;2021-11-07T16:16:18;2021-11-07T16:30:15;Advanced administration;Oregon Tactics AGP;true
7;back;Awesome Sleek;system;33394;29209;86848;Chief Market;2021-11-08T03:04:08;2021-11-08T04:16:14;non-volatile deposit analyzing;programming data-warehouse Forward;true
8;Account;deploy parse;Loan Tactics extend;9557;35695;97284;Implementation;2021-11-08T06:02:18;2021-11-08T05:04:35;Practical;International;false
9;Colorado Cambridgeshire;enable;Practical navigating;78789;94383;65936;holistic Texas;2021-11-08T11:29:34;2021-11-07T18:21:44;scalable Handmade;SCSI Namibia;false
10;line;Bedfordshire;Ohio;67142;30632;31432;Money Generic;2021-11-07T21:30:22;2021-11-07T21:06:24;Berkshire Cambridgeshire;Data expedite;false
