id;code;lib_en;lib_ar;lib_fr;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;reciprocal Gibraltar;synthesizing;Adaptive Brand Infrastructure;Practical Granite;2021-11-07T15:16:00;blockchains Cambridgeshire;Agent synthesize;Table Soft;empower Money;true;2021-11-07T17:10:45;2021-11-07T14:52:49
2;Nakfa card Keyboard;project Soft;Sri withdrawal gold;hacking cross-platform;2021-11-08T08:45:00;Rustic Steel XSS;Product;cyan productize;interface California Account;false;2021-11-08T00:32:28;2021-11-08T07:21:54
3;green Designer;Refined;Associate;Maldives;2021-11-08T10:52:45;Fish;port calculating;withdrawal archive;CFA Loan;true;2021-11-07T18:22:58;2021-11-08T03:40:49
4;functionalities Customer;solid withdrawal;transmit Global;back-end Licensed;2021-11-07T14:52:40;Sausages multi-tasking;Practical index;6th Metal;Solutions;true;2021-11-07T13:39:54;2021-11-07T17:18:03
5;bypassing Bedfordshire grey;neural-net modular;Bacon;Kwacha;2021-11-08T13:13:11;CSS;Fundamental;Ball;Hat GB Plaza;true;2021-11-08T01:30:47;2021-11-07T23:01:04
6;Toys Self-enabling;Investor;pixel panel;synthesize generate;2021-11-07T17:27:28;Supervisor New digital;discrete Fresh;generation Meadows Market;Tasty online Skyway;false;2021-11-08T11:47:18;2021-11-08T02:30:29
7;IB;Cambridgeshire;Account payment;virtual SMS Rubber;2021-11-07T21:09:35;Fuerte engage;Representative Tenge Guarani;Station Rubber;calculate;false;2021-11-07T14:11:16;2021-11-08T09:27:35
8;Clothing Movies;Corporate;Tuna process Pizza;Car;2021-11-07T17:11:01;Soft;brand;Functionality Soft AI;TCP Implementation Shirt;false;2021-11-08T13:18:56;2021-11-08T12:27:06
9;XML;Hills;Steel innovative;Steel withdrawal Intelligent;2021-11-07T22:40:26;Account action-items program;Central quantify Bypass;world-class Senior;Gorgeous;true;2021-11-07T17:48:54;2021-11-07T16:19:55
10;Borders French;Officer;transmitting Qatari Berkshire;system bandwidth;2021-11-07T18:07:45;Planner Neck panel;(Slovak Plastic;Reduced Reverse-engineered;Pataca;false;2021-11-07T18:01:19;2021-11-08T01:49:40
