id;code;lib;val_taken;date_situation;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;Saudi Crescent;protocol array Naira;47660;2021-11-07;2021-11-08T06:14:13;Rubber;experiences Cambridgeshire;grey Account Soap;Mobility productize;false;2021-11-07T18:34:08;2021-11-07T21:33:11
2;Customer Frozen;IB;10322;2021-11-08;2021-11-07T22:34:26;Towels portals;Buckinghamshire system Guinea;Missouri Bulgaria;Kansas drive;true;2021-11-08T01:50:01;2021-11-08T08:14:12
3;black Maryland;Intranet Human Central;59789;2021-11-08;2021-11-07T14:51:31;Jan high-level;payment;Ridges Solutions;Walks system;false;2021-11-07T16:23:40;2021-11-08T12:10:50
4;Re-contextualized Music interface;Florida optical generate;12469;2021-11-08;2021-11-08T10:50:35;utilize De-engineered salmon;salmon;Producer Chilean Kids;Mississippi Assistant Republic;true;2021-11-07T22:24:34;2021-11-08T04:10:32
5;model Extensions Stravenue;Account withdrawal Guam;85020;2021-11-07;2021-11-08T08:43:21;Pants;monetize;PCI Grocery Cotton;innovate;false;2021-11-08T07:07:09;2021-11-07T22:55:18
6;Engineer;optimizing;22112;2021-11-08;2021-11-07T14:04:41;Books redundant;transmit Rhode Tuna;Table;Account;true;2021-11-08T03:32:10;2021-11-08T13:21:19
7;Metrics Clothing;B2C Cambridgeshire Franc;96646;2021-11-07;2021-11-07T16:40:19;challenge calculate;navigating;Sports feed;grow;true;2021-11-07T19:47:50;2021-11-07T23:36:26
8;synthesize Implementation;connect Handmade mindshare;45226;2021-11-08;2021-11-08T06:11:41;monitor maroon;Shirt;Chair Islands;infrastructures cross-platform;false;2021-11-08T11:27:39;2021-11-08T06:49:36
9;parse;auxiliary Table;84193;2021-11-07;2021-11-07T19:03:46;Money New invoice;demand-driven;Mouse Liechtenstein;connecting;true;2021-11-07T18:49:44;2021-11-07T16:14:42
10;synergistic withdrawal;Crossing;6364;2021-11-07;2021-11-08T09:28:37;Cross-platform;initiatives Island USB;orchid Sausages;Grocery;true;2021-11-08T03:37:44;2021-11-08T09:16:59
