id;code;lib_en;lib_ar;lib_fr;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;generating knowledge supply-chains;Incredible;TCP;EXE local virtual;2021-11-08T03:51:29;Internal bandwidth;Arizona;teal back-end;Incredible Sleek North;true;2021-11-08T05:15:16;2021-11-08T08:46:54
2;Cotton;reboot Connecticut Small;bus deposit Consultant;Granite;2021-11-08T00:19:12;systemic Ball;card Ball Freeway;analyzer invoice;plum;false;2021-11-08T01:40:09;2021-11-08T01:02:20
3;concept e-markets;Fish;Island Agent intangible;strategize Refined Small;2021-11-08T02:48:20;Dynamic Guilder;capacitor;Dynamic;Guernsey;true;2021-11-08T11:23:30;2021-11-07T22:02:54
4;Generic deposit Identity;turn-key Missouri silver;Lilangeni Tuna;Tactics exuding Division;2021-11-08T11:30:35;Soft Mississippi;Omani Liaison Plastic;Cape infrastructures;Berkshire;false;2021-11-08T05:08:06;2021-11-08T05:33:13
5;Loan Re-engineered Agent;Concrete purple;Pants;SMS District;2021-11-08T06:05:23;quantifying;Marketing;Operations purple;black;true;2021-11-08T08:00:31;2021-11-07T21:06:53
6;Corporate Horizontal;reboot;Personal optimize Functionality;matrix Islands Card;2021-11-08T04:41:08;Computer engineer;fresh-thinking Account maximize;invoice copy pink;Intelligent responsive;true;2021-11-08T07:48:18;2021-11-07T21:47:54
7;Awesome;Mouse mobile;target matrix Legacy;deposit Dalasi product;2021-11-07T17:43:50;panel vortals Chair;Focused;HDD wireless;Communications world-class;false;2021-11-07T19:24:07;2021-11-07T14:26:31
8;Fields Metal;Rustic Customer;AGP SMS;even-keeled Cambridgeshire Wooden;2021-11-08T12:42:14;Cotton;SMS invoice system-worthy;Ohio Handcrafted override;Home;true;2021-11-07T22:40:26;2021-11-07T19:10:03
9;Village;matrix Implementation;synthesizing Plastic;Accounts generate Bike;2021-11-07T13:39:01;Florida;bluetooth synthesizing Communications;withdrawal;Loan withdrawal;false;2021-11-08T06:51:23;2021-11-07T16:12:05
10;National;Maryland generate;Card indexing;withdrawal withdrawal Anguilla;2021-11-07T13:31:27;Infrastructure Lari;Kwacha quantifying Home;challenge Shoes;matrix Usability index;true;2021-11-08T00:41:08;2021-11-08T12:47:09
