id;code;lib_en;lib_ar;lib_fr;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;turquoise;granular plum;Malta card;Borders bluetooth;Architect Incredible monitor;2021-11-08T10:58:34;Pants Illinois Rubber;Bedfordshire generating Integration;true;2021-11-08T12:07:04;2021-11-07T13:30:09
2;Borders withdrawal Dobra;RSS protocol;Regional Dynamic;array back-end;CSS;2021-11-07T21:37:17;Intelligent Developer;microchip benchmark;true;2021-11-07T20:28:16;2021-11-08T00:08:16
3;enhance invoice;Steel SSL;Soft;Customer;Direct Home FTP;2021-11-08T10:07:27;Manat Principal;Directives capacitor Gibraltar;false;2021-11-07T22:21:32;2021-11-08T09:36:34
4;solutions Loan;Mexican;New;District Executive;mission-critical Clothing Buckinghamshire;2021-11-08T12:35:48;Towels contextually-based;Incredible;false;2021-11-08T03:25:24;2021-11-07T13:24:36
5;Architect networks;open-source;enhance tertiary;Shirt;Nakfa;2021-11-08T06:51:17;Indiana;Sausages Exclusive;true;2021-11-08T03:40:35;2021-11-07T22:04:16
6;relationships Inverse;Club;Sports Unbranded;scalable back-end;bypassing digital RAM;2021-11-08T06:29:40;Route Arizona bypassing;Dobra;true;2021-11-07T13:41:48;2021-11-07T15:05:17
7;Liaison;Integration;Wooden;open-source;Optimized;2021-11-07T14:11:16;Legacy magnetic;Cheese access;false;2021-11-07T15:17:42;2021-11-07T17:36:15
8;Cayman;Dakota Mission olive;Comoro Upgradable;District Well;SCSI;2021-11-07T15:04:42;1080p alarm Massachusetts;system-worthy deposit;true;2021-11-07T21:22:47;2021-11-08T00:22:40
9;magenta parse;Associate generate IB;implementation Dynamic compressing;Tenge Intelligent Designer;Identity Cotton virtual;2021-11-08T04:42:35;ability Fresh;Cotton override Steel;true;2021-11-08T01:41:09;2021-11-08T00:54:20
10;value-added Connecticut synthesizing;Account Handmade;enhance;brand;Rustic Shirt Producer;2021-11-08T12:03:39;Fantastic Developer Loan;Pennsylvania Ouguiya Sleek;true;2021-11-07T23:47:02;2021-11-08T12:44:26
