id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;paradigms Turnpike;Lithuania;Avon;calculate Outdoors;2021-11-07T19:33:10;bypass;Computer Computer;true;2021-11-08T00:23:51;2021-11-08T07:57:54
2;Implemented Hampshire;Intelligent Associate;Shoes Progressive;Loan Louisiana;2021-11-07T23:03:56;extensible;indigo;false;2021-11-08T00:48:30;2021-11-07T21:14:58
3;maximize;white;Toys Direct;Buckinghamshire;2021-11-08T11:31:49;auxiliary target transmit;Programmable enable;false;2021-11-08T09:42:24;2021-11-08T05:58:25
4;channels Practical;Berkshire;parse sensor;Libyan olive Home;2021-11-07T22:12:38;input invoice;Frozen;true;2021-11-08T07:33:59;2021-11-08T08:30:10
5;Money Health Account;bypass;Phased Steel Corporate;hack success Account;2021-11-08T02:50:54;Balboa driver;Kids;true;2021-11-08T07:53:18;2021-11-08T03:54:19
6;Soft;Colorado connecting whiteboard;Proactive Refined;PNG withdrawal;2021-11-08T12:18:10;dedicated Re-engineered New;Human Robust;false;2021-11-08T09:43:06;2021-11-08T02:35:50
7;bus Chair;bricks-and-clicks Tajikistan;Lek Manat;Investment turquoise copy;2021-11-08T08:13:37;Cambridgeshire;UIC-Franc Small Chair;false;2021-11-07T19:51:18;2021-11-07T17:25:07
8;Self-enabling;stable Corporate front-end;Architect hacking;Ergonomic;2021-11-08T03:56:18;Usability;Frozen paradigms Electronics;false;2021-11-08T04:10:37;2021-11-08T13:12:55
9;deposit innovate;relationships Designer;Developer;Borders Coordinator;2021-11-08T12:52:48;Cedi;invoice methodical;false;2021-11-08T13:18:33;2021-11-08T06:54:01
10;back-end copying cross-platform;ubiquitous synthesizing;Generic;Carolina Israel Fish;2021-11-07T16:30:51;reboot;Officer needs-based;false;2021-11-08T04:07:23;2021-11-07T13:38:30
