id;code;lib;annee;mois;date_calcul;date_valid;date_payroll;total_net;total_net_devise;taux_change;calcul_by;effect_by;date_situation;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;Executive process;hard Computers;50039;16097;2021-11-08;2021-11-08;2021-11-07;41309;61910;85710;Haiti application Fully-configurable;enhance;2021-11-07;2021-11-07T16:36:08;quantifying;customized virtual;Towels navigate Lead;Illinois up Tunisia;false;2021-11-07T23:49:32;2021-11-08T04:10:36
2;navigate Ramp;redundant bluetooth;81675;6012;2021-11-08;2021-11-08;2021-11-07;9372;69298;84730;Garden Ameliorated;Archipelago) quantifying;2021-11-07;2021-11-07T23:45:34;orange Integration bandwidth;Movies;bypassing;cultivate Cheese;true;2021-11-08T04:32:49;2021-11-08T04:21:47
3;Sharable Accountability Response;Cuban;32068;39881;2021-11-08;2021-11-07;2021-11-07;50837;4916;90670;Refined;Cuban primary array;2021-11-07;2021-11-08T09:05:20;sky;monetize;models recontextualize Jordan;Bacon Practical;true;2021-11-07T17:38:34;2021-11-08T12:55:31
4;Representative Frozen Strategist;quantifying wireless;37801;98576;2021-11-07;2021-11-07;2021-11-08;51355;31804;46700;protocol Soft;orange Tuna;2021-11-08;2021-11-07T14:58:17;task-force;forecast program Outdoors;Cambridgeshire payment;Virginia time-frame Soap;true;2021-11-08T13:20:29;2021-11-07T18:36:33
5;Costa Frozen Towels;Bedfordshire Plastic;87315;99850;2021-11-07;2021-11-08;2021-11-08;89149;71670;8611;capacity grow;Creative virtual;2021-11-08;2021-11-08T05:48:03;Islands driver;Tasty program Bedfordshire;utilize;Director Regional;true;2021-11-07T20:37:24;2021-11-08T03:40:50
6;Chips;matrix Georgia;33976;59930;2021-11-07;2021-11-08;2021-11-08;31161;38486;38617;revolutionize standardization encryption;optical connecting;2021-11-07;2021-11-08T12:55:45;green virtual Right-sized;channels Sports;Account;Tools;true;2021-11-07T14:39:59;2021-11-08T10:38:37
7;markets Central Bedfordshire;Guinea Tuna Future;61959;22413;2021-11-07;2021-11-07;2021-11-08;74665;8492;32291;copying;maximize Locks;2021-11-07;2021-11-07T16:28:41;Sausages panel Towels;array ADP zero;up visionary Fantastic;Baby;false;2021-11-07T19:41:58;2021-11-08T03:59:09
8;Metrics;Shoes and initiative;1864;24891;2021-11-07;2021-11-08;2021-11-08;91415;27006;60078;Belize Realigned Cambodia;integrate;2021-11-08;2021-11-07T16:33:05;Pakistan standardization Specialist;Junctions Wooden;e-markets;Checking;false;2021-11-08T06:43:01;2021-11-08T02:51:42
9;demand-driven Bahamas;withdrawal Chips;17290;66409;2021-11-07;2021-11-07;2021-11-08;14630;68646;44500;hierarchy;Division;2021-11-07;2021-11-07T22:40:59;process Direct index;Bike;Bedfordshire Chair Neck;impactful;true;2021-11-08T10:47:41;2021-11-08T09:31:39
10;Vatu;Hampshire;99628;73705;2021-11-08;2021-11-07;2021-11-07;8730;82319;32277;Hampshire optimize;Compatible Sleek;2021-11-08;2021-11-07T23:16:53;navigating;Cambodia utilisation;1080p Island Intranet;Applications Towels USB;false;2021-11-07T16:36:52;2021-11-07T21:55:13
