id;code;lib_en;lib_ar;lib_fr;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;Division salmon SMTP;BEAC Monitored;Dakota;TCP;2021-11-07T22:51:16;Operations Home Handcrafted;SDD Cuba Pitcairn;Lead technologies;Games;false;2021-11-08T12:11:52;2021-11-08T00:42:40
2;Gorgeous firewall;maroon;Multi-channelled;Well;2021-11-07T13:58:24;Buckinghamshire paradigms Cuban;haptic Berkshire SQL;Future;neural front-end XML;false;2021-11-07T13:36:51;2021-11-08T11:10:38
3;Human engineer;Gloves maximized;mint overriding orchid;Corporate programming;2021-11-07T16:41:45;strategy Orchestrator;Fantastic;Tokelau Architect;Virtual Tuna;true;2021-11-07T19:53:39;2021-11-07T17:06:24
4;Principal Account;deposit generate invoice;Cambridgeshire;grey Cheese Account;2021-11-07T23:36:22;Pizza Manager;matrix Gabon;Rufiyaa withdrawal Chair;benchmark Trace;true;2021-11-08T10:44:22;2021-11-07T22:02:00
5;portals calculate e-commerce;Cape Personal;Bedfordshire Administrator sensor;Berkshire Dynamic ADP;2021-11-08T03:03:10;deposit Metal;feed adapter empower;Skyway Extended synergistic;transmitter Table Arizona;true;2021-11-08T06:37:39;2021-11-07T16:11:04
6;River Ergonomic Cambridgeshire;Zloty;productize circuit;indexing;2021-11-08T08:46:10;Handcrafted generating Colombia;payment Loan Wyoming;copy;HTTP extranet Connecticut;true;2021-11-07T22:36:25;2021-11-07T22:10:51
7;Up-sized Gorgeous disintermediate;navigate;Solomon Carolina convergence;whiteboard niches Sum;2021-11-07T23:55:41;Metal;Hat pink;Mews Salad Sleek;partnerships Tasty bricks-and-clicks;true;2021-11-07T20:39:30;2021-11-08T05:19:41
8;Manager programming;moratorium synthesizing;Account payment;collaborative Forward;2021-11-08T08:19:04;Games USB;Customer PNG US;Forward;1080p;false;2021-11-08T12:11:06;2021-11-08T07:32:49
9;Corporate National incentivize;PCI interface;orchid conglomeration;Chips Cheese;2021-11-07T15:25:49;Electronics Outdoors;payment holistic CSS;Re-engineered Facilitator;Extended;false;2021-11-07T17:38:59;2021-11-07T18:59:22
10;Granite;extensible Rubber;Dollar panel;unleash bandwidth North;2021-11-07T19:31:38;Berkshire;Customizable Peso Health;hardware;Mountain drive;true;2021-11-07T22:21:32;2021-11-08T06:22:57
