id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Checking scalable Frozen;gold e-services Salad;scalable;Metal;2021-11-07T13:48:10;Bahamas Global Ball;Idaho;false;2021-11-08T03:47:05;2021-11-08T11:20:07
2;Granite;Product Walk;Money solution;Throughway Direct;2021-11-07T22:19:03;Response;Salad transitional Concrete;false;2021-11-07T19:41:05;2021-11-08T01:30:01
3;synthesizing withdrawal;throughput full-range Electronics;Cambridgeshire;Electronics mindshare matrix;2021-11-07T17:01:20;end-to-end Colorado;AI Card Maine;true;2021-11-07T16:01:23;2021-11-07T23:40:45
4;Turnpike;Rustic;input;Koruna Table Personal;2021-11-07T20:39:29;Specialist conglomeration Courts;Cambridgeshire India;true;2021-11-07T19:53:53;2021-11-08T04:27:57
5;deliverables;niches invoice Eritrea;Chilean;regional plum;2021-11-08T01:55:04;overriding;Shoes Chair program;true;2021-11-07T16:41:16;2021-11-08T02:11:02
6;Island Arkansas;Metal Fresh Soft;Handcrafted Chicken;black violet Soft;2021-11-07T15:52:55;microchip Auto;content CSS Fresh;true;2021-11-07T22:36:13;2021-11-08T04:24:12
7;Louisiana invoice;quantifying Sausages Open-source;Program cultivate Money;web Refined Chips;2021-11-08T04:24:17;Borders;Branding Station;true;2021-11-07T19:59:56;2021-11-08T05:20:08
8;alarm;solutions secondary Sausages;Credit navigating Car;Configuration archive Checking;2021-11-07T14:40:30;payment auxiliary;indexing brand streamline;true;2021-11-07T22:43:01;2021-11-08T03:57:01
9;Pitcairn;Senior;RSS;Riyal;2021-11-08T09:54:29;back-end parse Reduced;throughput channels;true;2021-11-08T06:45:57;2021-11-08T08:56:41
10;dot-com Soft;Borders Tanzania Account;Shoes;Movies Home;2021-11-08T09:28:56;Quality Mozambique Administrator;Shirt Bedfordshire collaboration;false;2021-11-08T01:46:57;2021-11-07T14:12:43
