id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;upward-trending sticky;bypassing;Future alarm Buckinghamshire;FTP;2021-11-08T03:23:18;Direct Investor;matrix Borders invoice;true;2021-11-08T05:24:43;2021-11-07T13:38:05
2;parsing;Business-focused;e-enable;back-end;2021-11-07T23:13:32;purple web-readiness;initiatives implementation Soap;false;2021-11-08T08:51:29;2021-11-07T18:19:28
3;transparent;Ocean Account;protocol neural;Re-engineered back-end system;2021-11-07T13:43:21;Concrete Korea;Designer Baby Toys;true;2021-11-08T04:04:50;2021-11-08T04:26:39
4;Small Automotive;Generic;US;Optimization Fantastic;2021-11-08T03:14:54;deposit Guadeloupe Fantastic;Movies bifurcated Club;true;2021-11-07T20:17:44;2021-11-07T20:33:31
5;Ergonomic copy;JBOD Soft;Sausages hacking Meadow;Illinois Soft;2021-11-07T13:34:27;Account monetize;optical gold Fish;false;2021-11-07T15:31:29;2021-11-08T13:18:31
6;Buckinghamshire synthesize;systems;Clothing;cross-media;2021-11-07T13:49:04;Games architect;EXE object-oriented;false;2021-11-08T00:19:20;2021-11-08T08:08:58
7;visionary bifurcated;hack;client-driven Assimilated Networked;Creative;2021-11-08T05:15:19;Configuration Licensed;Lead Implementation Common;false;2021-11-08T12:47:13;2021-11-08T12:54:50
8;user-facing Rubber Baby;pixel system-worthy;Track;PCI architect Health;2021-11-07T19:06:15;Fundamental empower target;Market Forges;true;2021-11-08T12:25:27;2021-11-08T12:54:00
9;infomediaries;Shirt Land Soft;drive transmit;Soft Practical;2021-11-07T14:19:01;Bike programming;Grocery;false;2021-11-08T12:37:17;2021-11-08T06:59:10
10;deposit;needs-based;Paradigm;navigating world-class;2021-11-08T11:53:50;Chips Cotton;Berkshire THX Mobility;false;2021-11-07T17:49:50;2021-11-08T13:19:12
