id;code;mat_fiscal;registre_commerce;nom_commerce_ar;nom_commerce_en;raison_social_ar;raison_social_en;addresse_ar;addresse_en;code_postal;tel;email;fax;util;dateop;modified_by
1;Iranian Infrastructure Granite;Wooden;generate override bandwidth;deposit;Soft system Avon;bypass;Czech;user-centric;innovate expedite Dollar;Loan payment;Keyboard Republic;Vella75@gmail.com;AGP Generic;Account payment Granite;2021-11-08T04:48:53;alliance olive
2;Barbados state Designer;3rd;Plastic gold;Manager bleeding-edge proactive;frame Fresh back-end;calculating;hack interfaces Maine;orange Arabia;Ohio;niches;matrix deposit Incredible;Emerald.Shields64@gmail.com;Senior;flexibility deliverables;2021-11-08T00:53:37;Practical utilize
3;radical ivory Web;SAS Generic;up dot-com;Steel enhance Music;Movies Rustic user-centric;card Cambridgeshire;markets;Awesome bandwidth;Senior Ferry;Investment Unbranded;seamless Avon;Hanna_Davis93@gmail.com;challenge Account withdrawal;Inlet Wyoming;2021-11-08T01:23:59;Shoes robust
4;Internal;synergies;Afghani optimize mindshare;Implementation Libyan;Marketing;Frozen Montana Island;magenta Account Somoni;interface Accounts Gateway;Legacy;Directives;Chicken;Eliseo.Casper53@gmail.com;intuitive harness;composite program;2021-11-08T08:34:57;experiences
5;Nevada Maine system;AGP flexibility Dollar;overriding Mountains;Group capability Open-source;Gorgeous reboot;Plastic improvement;Awesome 3rd;contextually-based wireless;Gloves Chair;RSS empower payment;parse foreground back-end;Ibrahim_Dicki38@yahoo.com;User-friendly;Virginia;2021-11-07T20:03:01;Buckinghamshire
6;Unbranded lavender;Rustic Junctions;bypass;multi-byte auxiliary Islands;static Plastic;Keyboard engage global;Kwacha payment;Human tan;Handcrafted Louisiana;violet;Plastic Rubber;Vergie12@hotmail.com;monitoring Direct;Function-based Movies Lev;2021-11-07T18:11:13;Intranet
7;Chips Louisiana Cambridgeshire;Pants lime Designer;magnetic Causeway parsing;Rupee Cotton;bandwidth-monitored;services Handmade coherent;web;Future;virtual Gorgeous deposit;withdrawal;Granite complexity;Frederic_Kub@yahoo.com;Rubber Computer;Peso Strategist;2021-11-08T05:24:52;Manat Frozen
8;Car Wyoming Personal;bottom-line;hacking;Configurable Michigan Berkshire;Berkshire;Licensed Facilitator;Shoes hard;Baby matrix Planner;cross-platform New invoice;Sleek Director;Shirt transmitter Producer;Stacy47@yahoo.com;Angola Clothing;partnerships;2021-11-08T02:14:34;Supervisor Palladium paradigm
9;compressing Account;Computer ROI invoice;Namibia communities Human;Savings bus;synergize;Response Cambridgeshire supply-chains;primary frictionless;lime Ball;zero Shirt;Rubber multimedia;Pine Frozen Car;Giles_Padberg@gmail.com;Incredible Soap;Sri Checking;2021-11-08T13:18:11;Polarised Buckinghamshire
10;Consultant;mobile Re-engineered deposit;bottom-line Chief SCSI;Kids North parsing;solution-oriented HDD;Applications partnerships panel;Paradigm Awesome deposit;bleeding-edge;innovate invoice Adaptive;Account web-readiness;hacking reintermediate;Jarred.Keeling3@gmail.com;index;moderator;2021-11-08T06:04:47;indigo Auto Granite
