id;code;lib_ar;lib_en;dateop;util;modified_by;op;is_deleted;created_date;modified_date
1;Outdoors Forge;technologies navigate Metal;monitoring Concrete;2021-11-07T17:47:43;context-sensitive Borders;Dynamic synthesizing Toys;RSS Shoal;true;2021-11-08T11:15:38;2021-11-08T02:55:17
2;Quality high-level;connect Ergonomic;infomediaries end-to-end Re-contextualized;2021-11-07T23:23:53;AGP Uzbekistan;microchip Product;Games;false;2021-11-08T05:54:57;2021-11-07T15:53:12
3;Fully-configurable synthesize;bypass input;Rustic;2021-11-08T07:45:14;even-keeled salmon;Sudan backing Wyoming;New calculating Officer;false;2021-11-07T13:51:57;2021-11-07T20:57:41
4;multi-byte protocol;Fully-configurable transmitting;maroon;2021-11-07T14:10:16;system;Intuitive;Executive;true;2021-11-08T10:30:58;2021-11-08T00:34:55
5;Cambridgeshire;Concrete orange input;GB;2021-11-08T03:26:37;Automated Configuration;visionary Tuna Intelligent;Forward Money;true;2021-11-08T00:48:36;2021-11-07T22:02:31
6;Cambridgeshire Libyan Movies;Vision-oriented moderator withdrawal;User-friendly Consultant;2021-11-07T15:37:44;Global monitor incentivize;Cotton deposit Customizable;solid Handcrafted Avon;false;2021-11-08T07:45:12;2021-11-07T17:23:35
7;Avon SAS;Bolivia process Forward;Architect Sausages Music;2021-11-07T15:38:01;deposit;Global Falls;Dominica transmitter withdrawal;true;2021-11-08T11:39:50;2021-11-08T04:41:55
8;Architect Infrastructure CSS;Customer magenta;Table Stand-alone olive;2021-11-08T02:02:32;Oregon;leading-edge Maldives monetize;withdrawal;true;2021-11-07T16:48:57;2021-11-08T06:23:03
9;tan Factors Uganda;monitor;Wooden AI Refined;2021-11-08T00:09:39;portal Orchestrator quantify;RSS projection Cook;Accountability deposit Awesome;false;2021-11-08T01:14:00;2021-11-08T01:51:49
10;Fresh dot-com;strategize;National transmitting sensor;2021-11-08T10:13:20;salmon;De-engineered Idaho;Islands, Movies;false;2021-11-07T21:59:00;2021-11-07T18:01:28
